** CUDA API Summary (cuda_api_sum):
 Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)    Max (ns)     StdDev (ns)            Name         
 --------  ---------------  ---------  ------------  -----------  ---------  -----------  -------------  ----------------------
     97.7      264,263,410          5  52,852,682.0     38,470.0      4,490  264,173,049  118,131,677.6  cudaMallocManaged     
      1.1        3,085,315          2   1,542,657.5  1,542,657.5     55,611    3,029,704    2,103,001.3  cudaStreamSynchronize 
      0.4        1,170,701          1   1,170,701.0  1,170,701.0  1,170,701    1,170,701            0.0  cudaDeviceSynchronize 
      0.3          784,604          5     156,920.8     86,351.0     28,561      320,966      140,944.5  cudaFree              
      0.3          733,583          2     366,791.5    366,791.5      6,520      727,063      509,500.8  cudaStreamCreate      
      0.1          270,125          3      90,041.7     44,851.0      9,920      215,354      109,920.1  cudaLaunchKernel      
      0.0          131,892          1     131,892.0    131,892.0    131,892      131,892            0.0  cuLibraryLoadData     
      0.0           30,240          2      15,120.0     15,120.0      5,390       24,850       13,760.3  cudaStreamDestroy     
      0.0            1,450          3         483.3        320.0        300          830          300.4  cuKernelGetName       
      0.0            1,340          1       1,340.0      1,340.0      1,340        1,340            0.0  cuModuleGetLoadingMode
      0.0            1,280          2         640.0        640.0        600          680           56.6  cuLibraryGetKernel    

** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):
 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                            Name                          
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------------------------------------------------
     77.7        4,050,140          2  2,025,070.0  2,025,070.0  1,013,063  3,037,077  1,431,194.0  stencil_2d(const int *, int *, int)                     
     22.3        1,164,835          1  1,164,835.0  1,164,835.0  1,164,835  1,164,835          0.0  matMulKernelShared(const int *, const int *, int *, int)
